pair,f1
2013_Glasgow_helicopter_c → 2013_Colorado_floods,0.47007792231008394
2013_Glasgow_helicopter_c → 2013_Lac_Megantic_train_c,0.47225386529430097
2013_Glasgow_helicopter_c → 2013_LA_airport_shootings,0.37392221431140754
2013_Glasgow_helicopter_c → 2013_Manila_floods,0.49995119441680413
2013_Glasgow_helicopter_c → 2013_NY_train_crash,0.5491161438090836
2013_Glasgow_helicopter_c → 2013_Queensland_floods,0.3927778607270164
2013_Glasgow_helicopter_c → 2013_Russia_meteor,0.47422002810722147
2013_Glasgow_helicopter_c → 2013_Sardinia_floods,0.5416734098499099
2013_Glasgow_helicopter_c → 2013_Savar_building_colla,0.5480153657195082
2013_Glasgow_helicopter_c → 2013_Singapore_haze,0.3456501539361169
2013_Glasgow_helicopter_c → 2013_Spain_train_crash,0.4965090562534707
2013_Glasgow_helicopter_c → 2013_Typhoon_Yolanda,0.5988158839502032
2013_Glasgow_helicopter_c → 2013_West_Texas_explosion,0.45330117633608963
2013_Lac_Megantic_train_c → 2012_Colorado_wildfires,0.4200742288092506
2013_Lac_Megantic_train_c → 2012_Costa_Rica_earthquak,0.4905581352888324
2013_Lac_Megantic_train_c → 2012_Guatemala_earthquake,0.5566269329048233
2013_Lac_Megantic_train_c → 2012_Italy_earthquakes,0.5891209487833793
2013_Lac_Megantic_train_c → 2012_Philipinnes_floods,0.52883969867495
2013_Lac_Megantic_train_c → 2012_Typhoon_Pablo,0.48412071524220884
2013_Lac_Megantic_train_c → 2012_Venezuela_refinery,0.5185900537634409
2013_Lac_Megantic_train_c → 2013_Alberta_floods,0.4484000761203516
2013_Lac_Megantic_train_c → 2013_Australia_bushfire,0.3840913956667345
2013_Lac_Megantic_train_c → 2013_Bohol_earthquake,0.5715941685747542
2013_Lac_Megantic_train_c → 2013_Boston_bombings,0.38315052943418726
2013_Lac_Megantic_train_c → 2013_Brazil_nightclub_fir,0.6017101874708339
2013_Lac_Megantic_train_c → 2013_Colorado_floods,0.45490658543768686
2013_Lac_Megantic_train_c → 2013_Glasgow_helicopter_c,0.4546940975040791
2013_Lac_Megantic_train_c → 2013_LA_airport_shootings,0.3482783555319799
2013_Lac_Megantic_train_c → 2013_Manila_floods,0.4704403195436586
2013_Lac_Megantic_train_c → 2013_NY_train_crash,0.532435372817024
2013_Lac_Megantic_train_c → 2013_Queensland_floods,0.3312197575689081
2013_Lac_Megantic_train_c → 2013_Russia_meteor,0.43741351608037377
2013_Lac_Megantic_train_c → 2013_Sardinia_floods,0.60270732648615
2013_Lac_Megantic_train_c → 2013_Savar_building_colla,0.5503509319317673
2013_Lac_Megantic_train_c → 2013_Singapore_haze,0.30363099442482805
2013_Lac_Megantic_train_c → 2013_Spain_train_crash,0.4977072051216514
2013_Lac_Megantic_train_c → 2013_Typhoon_Yolanda,0.5463384534436263
2013_Lac_Megantic_train_c → 2013_West_Texas_explosion,0.38332387668538664
2013_LA_airport_shootings → 2012_Colorado_wildfires,0.40996705642361814
2013_LA_airport_shootings → 2012_Costa_Rica_earthquak,0.488884208255744
2013_LA_airport_shootings → 2012_Guatemala_earthquake,0.5678502762730072
2013_LA_airport_shootings → 2012_Italy_earthquakes,0.6097615586334161
2013_LA_airport_shootings → 2012_Philipinnes_floods,0.5095992053596532
2013_LA_airport_shootings → 2012_Typhoon_Pablo,0.4699035378198394
2013_LA_airport_shootings → 2012_Venezuela_refinery,0.49888307384976377
2013_LA_airport_shootings → 2013_Alberta_floods,0.4241260234632485
2013_LA_airport_shootings → 2013_Australia_bushfire,0.3975780403348613
2013_LA_airport_shootings → 2013_Bohol_earthquake,0.5338201007222835
2013_LA_airport_shootings → 2013_Boston_bombings,0.40551517368362355
